DATE,REGION,PRODUCT,CUSTOMER_SEGMENT,SALES_CHANNEL,FORECAST_SALES,ACTUAL_SALES,VARIANCE,PCT_OF_FORECAST,INVENTORY_UNITS_AVAILABLE,MARKETING_ENGAGEMENT_SCORE,CUSTOMER_SATISFACTION,REPEAT_PURCHASE_RATE,AVERAGE_ORDER_VALUE,CUSTOMER_LIFETIME_VALUE
2024-03-15,North America,SmartCollar,Premium,Direct Website,70,68,-2,97.1,44,73,4.8,0.69,192,723
2024-03-15,Europe,PetTracker,Premium,Direct Website,100,115,15,115.0,62,82,4.8,0.71,189,812
2024-03-15,Europe,PetTracker,Standard,Retail Partner,85,98,13,115.3,48,76,4.5,0.61,165,678
2024-03-15,Europe,HealthMonitor,Premium,Veterinary Clinic,60,68,8,113.3,38,85,4.9,0.75,245,1134
2024-03-15,Europe,HealthMonitor,Standard,Direct Website,75,85,10,113.3,42,79,4.4,0.64,198,792
2024-03-15,Europe,SmartCollar,Premium,Direct Website,50,48,-2,96.0,31,71,4.6,0.66,178,673
2024-03-15,Asia Pacific,PetTracker,Premium,Direct Website,55,62,7,112.7,33,80,4.7,0.69,182,765
2024-03-15,Asia Pacific,PetTracker,Standard,Retail Partner,45,51,6,113.3,26,74,4.3,0.58,158,634
2024-03-15,Asia Pacific,HealthMonitor,Premium,Veterinary Clinic,35,40,5,114.3,22,83,4.8,0.73,235,1102
2024-03-15,Asia Pacific,HealthMonitor,Standard,Direct Website,40,45,5,112.5,23,77,4.2,0.61,189,743
2024-03-15,Asia Pacific,SmartCollar,Premium,Direct Website,30,29,-1,96.7,17,68,4.5,0.65,168,632
2024-04-15,North America,PetTracker,Premium,Direct Website,180,205,25,113.9,108,88,5.0,0.73,215,1023
2024-04-15,North America,PetTracker,Standard,Retail Partner,140,162,22,115.7,81,81,4.8,0.67,185,756
2024-04-15,North America,HealthMonitor,Premium,Veterinary Clinic,95,115,20,121.1,54,90,5.0,0.81,278,1312
2024-04-15,North America,HealthMonitor,Standard,Direct Website,110,132,22,120.0,62,84,4.7,0.70,225,923
2024-04-15,North America,SmartCollar,Premium,Direct Website,75,73,-2,97.3,47,76,4.9,0.71,198,756
2024-04-15,Europe,PetTracker,Premium,Direct Website,105,128,23,121.9,65,85,4.9,0.73,195,867
2024-04-15,Europe,PetTracker,Standard,Retail Partner,90,112,22,124.4,51,79,4.6,0.64,172,712
2024-04-15,Europe,HealthMonitor,Premium,Veterinary Clinic,65,78,13,120.0,41,88,5.0,0.78,252,1189
2024-04-15,Europe,HealthMonitor,Standard,Direct Website,80,98,18,122.5,45,82,4.5,0.67,205,834
2024-04-15,Europe,SmartCollar,Premium,Direct Website,55,53,-2,96.4,33,74,4.7,0.68,185,698
2024-04-15,Asia Pacific,PetTracker,Premium,Direct Website,60,72,12,120.0,35,83,4.8,0.72,189,812
2024-04-15,Asia Pacific,PetTracker,Standard,Retail Partner,50,62,12,124.0,28,77,4.4,0.61,165,678
2024-04-15,Asia Pacific,HealthMonitor,Premium,Veterinary Clinic,40,48,8,120.0,24,86,4.9,0.76,242,1134
2024-04-15,Asia Pacific,HealthMonitor,Standard,Direct Website,45,55,10,122.2,25,80,4.3,0.64,195,789
2024-04-15,Asia Pacific,SmartCollar,Premium,Direct Website,35,34,-1,97.1,19,71,4.6,0.67,175,667
